,0,id,resolution,length,mol
370,4hqu_A_B,4hqu_A_B,2.2,95,platelet-derived growth factor subunit b
371,1t8e_B_A,1t8e_B_A,2.54,106,thioredoxin 1
372,4lup_A_A,4lup_A_A,1.2,91,rna polymerase sigma factor
373,1rio_A_A,1rio_A_A,2.3,97,repressor protein ci
374,1pyi_A_A,1pyi_A_A,3.2,88,protein (pyrimidine pathway regulator 1)
375,3gna_A_B,3gna_A_B,2.4,68,v(d)j recombination-activating protein 1
376,4g92_B_A,4g92_B_A,1.8,92,transcription factor hapc (eurofung)
377,2o4a_A_A,2o4a_A_A,1.75,84,dna-binding protein satb1
378,3coq_A_A,3coq_A_A,2.4,89,regulatory protein gal4
379,3rmp_A_A,3rmp_A_A,2.21,77,cp4-like integrase
380,2qhb_A_A,2qhb_A_A,2.4,86,telomere binding protein tbp1
381,5cqq_A_A,5cqq_A_A,3.1,74,regulatory protein zeste
382,1nh2_C_B,1nh2_C_B,1.9,50,transcription initiation factor iia large chain
383,4g92_A_A,4g92_A_A,1.8,61,hapb protein
384,3igm_A_A,3igm_A_A,2.2,56,pf14_0633 protein
385,4qr9_A_A,4qr9_A_A,2.0,75,high mobility group protein b1
386,1sfu_A_A,1sfu_A_A,2.0,70,34l protein
387,1rio_H_A,1rio_H_A,2.3,61,sigma factor siga
388,2h27_A_A,2h27_A_A,2.3,71,rna polymerase sigma e factor
389,4h10_A_A,4h10_A_A,2.402,60,aryl hydrocarbon receptor nuclear translocator-like protein1 
390,3qws_A_A,3qws_A_A,2.1,62,gp39
391,1zme_C_A,1zme_C_A,2.5,70,proline utilization transcription activator
392,4fth_A_A,4fth_A_A,3.004,68,transcriptional regulator (ntrc family)
393,2ql2_A_A,2ql2_A_A,2.5,56,transcription factor e2-alpha
394,2rbf_A_A,2rbf_A_A,2.25,44,bifunctional protein puta
395,3gxq_A_A,3gxq_A_A,2.35,53,putative regulator of transfer genes arta
396,2y35_A_A,2y35_A_A,3.2,1026,ld22664p
397,3iay_A_A,3iay_A_A,2.0,885,dna polymerase delta catalytic subunit
398,3pih_A_A,3pih_A_A,2.9,836,uvrabc system protein a
399,5hrt_A_B,5hrt_A_B,1.997,786,ectonucleotide pyrophosphatase/phosphodiesterase familymember 2 
400,3k4x_A_A,3k4x_A_A,2.98,758,proliferating cell nuclear antigen
401,1gm5_A_A,1gm5_A_A,3.24,729,recg
402,4g0r_A_B,4g0r_A_B,2.7,554,capsid protein vp1
403,2p6r_A_A,2p6r_A_A,3.0,683,afuhel308 helicase
404,3l2p_A_A,3l2p_A_A,3.0,535,dna ligase 3
405,3sqi_A_A,3sqi_A_A,2.8245,388,klla0e03807p
406,4wzw_A_A,4wzw_A_A,2.9516,505,pumilio domain-containing protein kiaa0020
407,4tyn_A_A,4tyn_A_A,2.959,509,"atp-dependent rna helicase mss116, mitochondrial"
408,3pov_A_A,3pov_A_A,2.5,445,orf 37
409,1lwt_A_A,1lwt_A_A,3.2,448,endonuclease pi-scei
410,5dac_A_A,5dac_A_A,2.503,432,"putative uncharacterized protein,putative uncharacterizedprotein "
411,2b9s_A_A,2b9s_A_A,2.27,426,topoisomerase i-like protein
412,3ngo_A_A,3ngo_A_A,2.2,337,ccr4-not transcription complex subunit 6-like
413,3m4a_A_A,3m4a_A_A,1.65,304,putative type i topoisomerase
414,4gle_A_A,4gle_A_A,2.7,292,uv damage endonuclease
415,2ihn_A_A,2ihn_A_A,3.0,299,ribonuclease h
416,1dmu_A_A,1dmu_A_A,2.2,299,bgli restriction endonuclease
417,2nra_C_A,2nra_C_A,3.1,252,pi protein
418,4zsf_A_B,4zsf_A_B,1.8,272,bsawi endonuclease
419,4pe8_A_B,4pe8_A_B,2.894,260,tat-linked quality control protein tatd
420,4kyw_A_B,4kyw_A_B,2.35,254,type-2 restriction enzyme dpni
421,1jmc_A_A,1jmc_A_A,2.4,238,protein (replication protein a (rpa))
422,2z70_A_A,2z70_A_A,1.7,245,ribonuclease i
423,4yo2_A_A,4yo2_A_A,3.073,186,transcription factor e2f8
424,3h25_A_A,3h25_A_A,2.7,188,replication protein b
425,3hqg_A_B,3hqg_A_B,2.6,222,type-2 restriction enzyme ecorii
426,4bxo_B_A,4bxo_B_A,2.15,196,fanconi anemia-associated protein of 24 kda
427,1c7y_A_A,1c7y_A_A,3.1,199,holliday junction dna helicase ruva
428,3h15_A_A,3h15_A_A,2.72,173,protein mcm10 homolog
429,3u60_A_A,3u60_A_A,3.34,186,dna polymerase accessory protein 62
430,4ht4_A_A,4ht4_A_A,2.907,194,nicking enzyme
431,3mky_B_A,3mky_B_A,2.86,115,protein sopb
432,3vok_A_A,3vok_A_A,2.0,176,transcriptional regulator
433,4csa_C_A,4csa_C_A,2.28,164,m2-1
434,2ofi_A_B,2ofi_A_B,1.85,184,"3-methyladenine dna glycosylase i, constitutive"
435,3hqf_A_A,3hqf_A_A,2.51,173,restriction endonuclease
436,1u3e_M_A,1u3e_M_A,2.92,174,hnh homing endonuclease
437,4er8_A_A,4er8_A_A,2.6,165,tnparep for protein
438,1xpx_A_A,1xpx_A_A,2.8,144,protein prospero
439,2zhg_A_A,2zhg_A_A,2.8,121,redox-sensitive transcriptional activator soxr
440,3w6v_A_A,3w6v_A_A,2.95,111,adpa
441,1u8b_A_A,1u8b_A_A,2.1,131,ada polyprotein
442,5dlo_A_B,5dlo_A_B,1.401,114,endoribonuclease mazf
443,4hly_B_B,4hly_B_B,1.48,106,k9
444,1hlv_A_A,1hlv_A_A,2.5,131,major centromere autoantigen b
445,1bl0_A_A,1bl0_A_A,2.3,116,protein (multiple antibiotic resistance protein)
446,1xsd_A_A,1xsd_A_A,2.7,125,penicillinase repressor
447,4g92_C_A,4g92_C_A,1.8,117,hape
448,1jfi_A_A,1jfi_A_A,2.62,63,transcription regulator nc2 alpha chain
449,1skn_P_A,1skn_P_A,2.5,74,dna-binding domain of skn-1
450,3d2w_A_A,3d2w_A_A,1.65,72,tar dna-binding protein 43
451,1puf_A_A,1puf_A_A,1.9,77,homeobox protein hox-a9
452,1dp7_P_A,1dp7_P_A,1.5,76,mhc class ii transcription factor hrfx1
453,2p2r_A_A,2p2r_A_A,1.6,73,poly(rc)-binding protein 2
454,2b9s_B_A,2b9s_B_A,2.27,52,dna topoisomerase i-like protein
455,4z3c_C_A,4z3c_C_A,1.57,44,methylcytosine dioxygenase
456,1tc3_C_A,1tc3_C_A,2.45,51,protein (tc3 transposase)
